state,county,tract,Total population 2010
17,031,560100,1473
17,031,560200,1721
17,031,560300,3187
17,031,560400,1516
17,031,560700,3484
17,031,560800,5411
17,031,560900,5093
17,031,561000,5161
17,031,561100,5407
