state,county,tract,Total population 2010
17,031,440101,3746
17,031,440102,3127
17,031,440201,5060
17,031,440202,2999
17,031,440300,4757
17,031,440600,2080
17,031,440700,1545
17,031,440800,1800
17,031,440900,2610
