state,county,tract,Total population 2010
17,031,190100,2488
17,031,190200,5853
17,031,190300,5794
17,031,190401,4257
17,031,190402,5458
17,031,190601,4545
17,031,190602,5516
17,031,190701,2955
17,031,190702,4869
17,031,190800,6632
17,031,190900,2040
17,031,191000,2559
17,031,191100,7414
17,031,191200,3853
17,031,191301,5397
17,031,191302,5034
