state,county,tract,Total population 2010
17,031,240200,1452
17,031,240300,1317
17,031,240500,2251
17,031,240600,1457
17,031,240700,1535
17,031,240800,1617
17,031,240900,1182
17,031,241000,2047
17,031,241100,3682
17,031,241200,1696
17,031,241300,1857
17,031,241400,4595
17,031,241500,2872
17,031,241600,3477
17,031,242000,4565
17,031,242100,3648
17,031,242200,3590
17,031,242300,3240
17,031,242400,2764
17,031,242500,3438
17,031,242600,5831
17,031,242700,2029
17,031,242800,1436
17,031,242900,1670
17,031,243000,2204
17,031,243100,2242
17,031,243200,2170
17,031,243300,2386
17,031,243400,3001
17,031,243500,2937
