state,county,tract,Total population 2020
17,031,020100,4202.0
17,031,020200,7128.0
17,031,020301,5261.0
17,031,020302,5010.0
17,031,020400,4435.0
17,031,020500,6599.0
17,031,020601,6699.0
17,031,020602,4662.0
17,031,020701,1879.0
17,031,020702,7717.0
17,031,020801,5648.0
17,031,020802,7546.0
17,031,020901,5848.0
17,031,020902,4488.0
