state,county,tract,Total population 2020
17,031,030101,3687.0
17,031,030102,3121.0
17,031,030103,2104.0
17,031,030104,3521.0
17,031,030200,5627.0
17,031,030300,3148.0
17,031,030400,2597.0
17,031,030500,6183.0
17,031,030601,3293.0
17,031,030603,2045.0
17,031,030604,3737.0
17,031,030701,1671.0
17,031,030702,2318.0
17,031,030703,3075.0
17,031,030706,2933.0
17,031,030800,4284.0
17,031,030900,2952.0
17,031,031000,3868.0
17,031,031100,4691.0
17,031,031200,5541.0
17,031,031300,6719.0
17,031,031400,5221.0
17,031,031501,4155.0
17,031,031502,4712.0
17,031,031700,6294.0
17,031,031800,1910.0
17,031,031900,2522.0
17,031,032100,7543.0
