state,county,tract,Total population 2020
17,031,060100,2830.0
17,031,060200,2313.0
17,031,060300,3076.0
17,031,060400,3709.0
17,031,060500,1374.0
17,031,060800,5295.0
17,031,060900,7104.0
17,031,061000,2279.0
17,031,061100,1367.0
17,031,061200,1932.0
17,031,061500,1797.0
17,031,061800,1051.0
17,031,061901,3625.0
17,031,061902,4665.0
17,031,062000,2843.0
17,031,062100,3817.0
17,031,062200,3244.0
17,031,062300,1667.0
17,031,062400,1673.0
17,031,062500,1675.0
17,031,062600,2477.0
17,031,062700,2955.0
17,031,062800,3851.0
17,031,062900,4125.0
17,031,063000,3417.0
17,031,063100,2376.0
17,031,063200,6900.0
17,031,063301,2833.0
17,031,063302,4577.0
17,031,063303,1274.0
17,031,063400,2417.0
