state,county,tract,Total population 2010
17,031,010100,4854
17,031,010201,6450
17,031,010202,2818
17,031,010300,6236
17,031,010400,5042
17,031,010501,4091
17,031,010502,3101
17,031,010503,2290
17,031,010600,6097
17,031,010701,3864
17,031,010702,5143
