state,county,tract,Population with personal vehicle
17,031,061200,439.0
17,031,061500,584.0
17,031,062900,823.0
17,031,063000,858.0
17,031,060200,564.0
17,031,061000,540.0
17,031,062400,413.0
17,031,060500,234.0
17,031,060900,1563.0
17,031,060100,916.0
17,031,060300,993.0
17,031,060400,1136.0
17,031,062000,705.0
17,031,062200,758.0
17,031,062500,337.0
17,031,063100,352.0
17,031,062100,657.0
17,031,061901,704.0
17,031,061902,804.0
17,031,063301,442.0
17,031,063303,238.0
17,031,063302,811.0
17,031,060800,1418.0
17,031,062600,807.0
17,031,061800,202.0
17,031,062300,482.0
17,031,061100,294.0
17,031,062700,765.0
17,031,063200,1170.0
17,031,062800,1039.0
17,031,063400,407.0
