state,county,tract,Population with personal vehicle
17,031,031700,1310.0
17,031,031300,1410.0
17,031,031100,1364.0
17,031,031800,578.0
17,031,032100,1546.0
17,031,030500,1800.0
17,031,031000,1105.0
17,031,031400,1511.0
17,031,030102,700.0
17,031,030103,325.0
17,031,030101,603.0
17,031,030104,451.0
17,031,030601,769.0
17,031,030603,340.0
17,031,030604,728.0
17,031,030701,159.0
17,031,030702,407.0
17,031,030703,456.0
17,031,030300,874.0
17,031,031200,886.0
17,031,030706,804.0
17,031,031501,572.0
17,031,031502,662.0
17,031,030400,664.0
17,031,030200,1531.0
17,031,030800,1126.0
17,031,030900,1092.0
17,031,031900,678.0
