state,county,tract,Population with personal vehicle
17,031,242000,1100.0
17,031,242100,924.0
17,031,240200,528.0
17,031,241400,1614.0
17,031,242400,1056.0
17,031,242500,1224.0
17,031,242600,1782.0
17,031,242700,344.0
17,031,240800,407.0
17,031,243000,945.0
17,031,242300,1027.0
17,031,241200,428.0
17,031,242800,597.0
17,031,243200,785.0
17,031,240300,312.0
17,031,241300,601.0
17,031,241500,941.0
17,031,241600,988.0
17,031,240600,341.0
17,031,243400,1061.0
17,031,243100,626.0
17,031,243300,628.0
17,031,240700,681.0
17,031,240500,951.0
17,031,240900,375.0
17,031,242200,1276.0
17,031,243500,921.0
17,031,242900,510.0
17,031,241000,470.0
17,031,241100,1091.0
