state,county,tract,Population with personal vehicle
17,031,240200,505.0
17,031,240300,305.0
17,031,240500,531.0
17,031,240600,496.0
17,031,240700,479.0
17,031,240800,475.0
17,031,240900,371.0
17,031,241000,555.0
17,031,241100,857.0
17,031,241200,441.0
17,031,241300,444.0
17,031,241400,1796.0
17,031,241500,648.0
17,031,241600,928.0
17,031,242000,969.0
17,031,242100,945.0
17,031,242200,1219.0
17,031,242300,810.0
17,031,242400,738.0
17,031,242500,1192.0
17,031,242600,1724.0
17,031,242700,483.0
17,031,242800,458.0
17,031,242900,707.0
17,031,243000,791.0
17,031,243100,698.0
17,031,243200,589.0
17,031,243300,559.0
17,031,243400,821.0
17,031,243500,914.0
