state,county,tract,Population with personal vehicle
17,031,240200,615.0
17,031,240300,481.0
17,031,240500,954.0
17,031,240600,494.0
17,031,240700,596.0
17,031,240800,359.0
17,031,240900,354.0
17,031,241000,489.0
17,031,241100,1211.0
17,031,241200,370.0
17,031,241300,520.0
17,031,241400,1213.0
17,031,241500,807.0
17,031,241600,1089.0
17,031,242000,930.0
17,031,242100,1117.0
17,031,242200,1608.0
17,031,242300,1099.0
17,031,242400,935.0
17,031,242500,1199.0
17,031,242600,1566.0
17,031,242700,368.0
17,031,242800,446.0
17,031,242900,639.0
17,031,243000,1044.0
17,031,243100,924.0
17,031,243200,695.0
17,031,243300,709.0
17,031,243400,759.0
17,031,243500,907.0
