state,county,tract,Population with personal vehicle
17,031,060100,815.0
17,031,060200,533.0
17,031,060300,498.0
17,031,060400,665.0
17,031,060500,153.0
17,031,060800,1272.0
17,031,060900,1409.0
17,031,061000,488.0
17,031,061100,321.0
17,031,061200,412.0
17,031,061500,413.0
17,031,061800,144.0
17,031,061901,378.0
17,031,061902,664.0
17,031,062000,346.0
17,031,062100,513.0
17,031,062200,718.0
17,031,062300,233.0
17,031,062400,218.0
17,031,062500,310.0
17,031,062600,630.0
17,031,062700,618.0
17,031,062800,855.0
17,031,062900,807.0
17,031,063000,267.0
17,031,063100,319.0
17,031,063200,1253.0
17,031,063301,315.0
17,031,063302,641.0
17,031,063303,174.0
17,031,063400,288.0
