state,county,tract,Population with personal vehicle
17,031,062100,798.0
17,031,062700,869.0
17,031,061800,181.0
17,031,062300,508.0
17,031,060100,966.0
17,031,060300,1019.0
17,031,060400,1246.0
17,031,062000,664.0
17,031,062200,1175.0
17,031,062500,483.0
17,031,063100,421.0
17,031,060200,571.0
17,031,061000,405.0
17,031,062400,464.0
17,031,060500,225.0
17,031,060900,1532.0
17,031,060800,1474.0
17,031,062600,766.0
17,031,061200,631.0
17,031,061500,607.0
17,031,062900,1199.0
17,031,063000,831.0
17,031,061901,903.0
17,031,061902,666.0
17,031,063301,569.0
17,031,063303,168.0
17,031,063302,819.0
17,031,063200,1278.0
17,031,062800,1112.0
17,031,063400,505.0
17,031,061100,460.0
