state,county,tract,Population with personal vehicle
17,031,030400,865.0
17,031,031000,1304.0
17,031,030500,1936.0
17,031,031400,1239.0
17,031,030900,831.0
17,031,031900,600.0
17,031,031700,1903.0
17,031,031300,1277.0
17,031,030102,496.0
17,031,030103,351.0
17,031,030101,793.0
17,031,030104,406.0
17,031,030601,739.0
17,031,030603,292.0
17,031,030604,689.0
17,031,030701,291.0
17,031,030702,478.0
17,031,030703,588.0
17,031,030706,589.0
17,031,031100,1448.0
17,031,031501,681.0
17,031,031502,589.0
17,031,030300,1078.0
17,031,031200,1328.0
17,031,031800,462.0
17,031,032100,1481.0
17,031,030200,1470.0
17,031,030800,1242.0
